iter	Passed	Remaining
667	3240	1610
668	3246	1606
669	3249	1600
670	3255	1596
671	3260	1591
672	3265	1586
673	3270	1581
674	3275	1576
675	3279	1571
676	3285	1567
677	3289	1562
678	3294	1557
679	3299	1552
680	3304	1547
681	3308	1542
682	3313	1537
683	3318	1532
684	3322	1527
685	3326	1522
686	3331	1517
687	3336	1513
688	3340	1507
689	3346	1503
690	3349	1498
691	3355	1493
692	3360	1488
693	3365	1484
694	3369	1478
695	3374	1474
696	3379	1469
697	3384	1464
698	3388	1459
699	3393	1454
700	3397	1449
701	3403	1444
702	3407	1439
703	3412	1434
704	3417	1429
705	3422	1425
706	3427	1420
707	3432	1415
708	3436	1410
709	3441	1405
710	3445	1400
711	3450	1395
712	3454	1390
713	3459	1385
714	3463	1380
715	3469	1376
716	3473	1370
717	3478	1366
718	3483	1361
719	3490	1357
720	3494	1352
721	3499	1347
722	3503	1342
723	3508	1337
724	3512	1332
725	3516	1327
726	3520	1322
727	3525	1317
728	3530	1312
729	3535	1307
730	3540	1302
731	3545	1298
732	3550	1293
733	3555	1288
734	3560	1283
735	3565	1279
736	3570	1274
737	3576	1269
738	3580	1264
739	3585	1259
740	3590	1254
741	3596	1250
742	3601	1245
743	3605	1240
744	3610	1235
745	3615	1230
746	3619	1225
747	3624	1220
748	3629	1216
749	3634	1211
750	3639	1206
751	3645	1202
752	3649	1197
753	3655	1192
754	3660	1187
755	3665	1183
756	3670	1178
757	3676	1173
758	3681	1168
759	3686	1164
760	3690	1159
761	3695	1154
762	3699	1149
763	3705	1144
764	3710	1139
765	3715	1135
766	3720	1130
767	3724	1125
768	3729	1120
769	3734	1115
770	3738	1110
771	3743	1105
772	3747	1100
773	3753	1096
774	3758	1091
775	3764	1086
776	3768	1081
777	3775	1077
778	3780	1072
779	3786	1067
780	3790	1062
781	3795	1058
782	3799	1052
783	3805	1048
784	3809	1043
785	3813	1038
786	3818	1033
787	3823	1028
788	3827	1023
789	3833	1018
790	3836	1013
791	3842	1009
792	3846	1003
793	3851	999
794	3855	994
795	3860	989
796	3865	984
797	3870	979
798	3874	974
799	3880	970
800	3886	965
801	3891	960
802	3895	955
803	3902	951
804	3906	946
805	3911	941
806	3916	936
807	3921	931
808	3925	926
809	3929	921
810	3934	916
811	3938	911
812	3943	907
813	3949	902
814	3953	897
815	3958	892
816	3962	887
817	3968	882
818	3973	878
819	3979	873
820	3983	868
821	3989	863
822	3993	858
823	3998	853
824	4002	848
825	4007	844
826	4012	839
827	4017	834
828	4022	829
829	4028	825
830	4032	820
831	4037	815
832	4042	810
833	4046	805
834	4051	800
835	4055	795
836	4059	790
837	4065	785
838	4069	780
839	4074	776
840	4080	771
841	4085	766
842	4090	761
843	4095	756
844	4100	752
845	4106	747
846	4110	742
847	4115	737
848	4119	732
849	4125	728
850	4130	723
851	4136	718
852	4140	713
853	4146	708
854	4150	703
855	4155	699
856	4159	694
857	4164	689
858	4169	684
859	4173	679
860	4178	674
861	4183	669
862	4187	664
863	4191	659
864	4196	654
865	4200	650
866	4205	645
867	4210	640
868	4215	635
869	4220	630
870	4223	625
871	4229	620
872	4233	615
873	4239	611
874	4243	606
875	4248	601
876	4253	596
877	4258	591
878	4263	586
879	4268	582
880	4273	577
881	4278	572
882	4283	567
883	4289	562
884	4294	558
885	4299	553
886	4304	548
887	4309	543
888	4314	538
889	4319	533
890	4324	528
891	4329	524
892	4333	519
893	4338	514
894	4342	509
895	4347	504
896	4351	499
897	4358	495
898	4362	490
899	4367	485
900	4371	480
901	4375	475
902	4380	470
903	4385	465
904	4389	460
905	4393	455
906	4397	450
907	4401	445
908	4406	441
909	4411	436
910	4415	431
911	4420	426
912	4425	421
913	4431	416
914	4434	411
915	4439	407
916	4445	402
917	4450	397
918	4454	392
919	4459	387
920	4464	382
921	4470	378
922	4475	373
923	4481	368
924	4486	363
925	4491	358
926	4495	354
927	4500	349
928	4504	344
929	4509	339
930	4514	334
931	4519	329
